1,0.05,0.135,428,416,414,419.3333333333,6.0386661486,6.0591231956,6.0306852603,6.0258659738,0.0179721288
2,0.1,0.27,380,370,367,372.3333333333,5.9197895104,5.9401712527,5.9135030056,5.9053618481,0.0182079127
3,0.15,0.405,280,278,274,277.3333333333,5.6252201522,5.6347896032,5.6276211137,5.6131281064,0.0110352084
4,0.2,0.54,245,238,237,240,5.4806389233,5.5012582105,5.4722706737,5.4680601411,0.0180744649
5,0.25,0.675,197,187,189,191,5.252273428,5.2832037287,5.2311086169,5.2417470151,0.0275249442
6,0.3,0.81,160,154,155,156.3333333333,5.0519904798,5.0751738152,5.0369526024,5.0434251169,0.0204561906
7,0.35,0.945,177,177,175,176.3333333333,5.1723761432,5.1761497326,5.1761497326,5.1647859739,0.0065608691
8,0.4,1.08,148,144,141,144.3333333333,4.9721254393,4.9972122738,4.9698132996,4.9487598904,0.0242953469
9,0.55,1.485,144,140,139,141,4.9487598904,4.9698132996,4.9416424226,4.9344739331,0.018680901
10,0.95,2.565,138,133,134,135,4.9052747784,4.9272536852,4.8903491282,4.8978398,0.0195074051
